2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Opportunity Name,Internal Goal,Projection Number,Finance Goal,Finance Projections (U),Financial Delta,Total Randomization,SiteCode,Protocol,Indication,Cohort,Status,SubStatus,FPFV Date,Enrollment End Date,PerPatientRevenuePoints,Priority,FQGoal,OpportunityId,Operational Delta,Apr-25,Finance Monthly Distribution Apr-25,May-25,Finance Monthly Distribution May-25,Jun-25,Finance Monthly Distribution Jun-25,Jul-25,Finance Monthly Distribution Jul-25,August-25,Finance Monthly Distribution Aug-25,Sep-25,Finance Monthly Distribution Sep-25,Oct-25,Finance Monthly Distribution Oct-25,Nov-25,Finance Monthly Distribution Nov-25,Dec-25,Finance Monthly Distribution Dec-25,Jan-26,Finance Monthly Distribution Jan-26,Feb-26,Finance Monthly Distribution Feb-26,Mar-26,Finance Monthly Distribution Mar-26,Apr-26,Finance Monthly Distribution Apr-26,May-26,Finance Monthly Distribution May-26,Jun-26,Finance Monthly Distribution Jun-26,Jul-26,Finance Monthly Distribution Jul-26,Aug-26,Finance Monthly Distribution Aug-26,Sep-26,Finance Monthly Distribution Sep-26,Oct-26,Finance Monthly Distribution Oct-26,Nov-26,Finance Monthly Distribution Nov-26,Dec-26,Finance Monthly Distribution Dec-26
4/24/2026,Internal Goal,Projection Number,Finance Goal,Finance Projection,Financial Delta,Total Randomization,SiteCode,Protocol,Indication,Cohort,Status,SubStatus,FPFV Date,Enrollment End Date,PerPatientRevenuePoints,Priority,FQGoal,OpportunityId,Operational Delta,Apr-25,Finance Monthly Distribution Apr-25,May-25,Finance Monthly Distribution May-25,Jun-25,Finance Monthly Distribution Jun-25,Jul-25,Finance Monthly Distribution Jul-25,August-25,Finance Monthly Distribution Aug-25,Sep-25,Finance Monthly Distribution Sep-25,Oct-25,Finance Monthly Distribution Oct-25,Nov-25,Finance Monthly Distribution Nov-25,Dec-25,Finance Monthly Distribution Dec-25,Jan-26,Finance Monthly Distribution Jan-26,Feb-26,Finance Monthly Distribution Feb-26,Mar-26,Finance Monthly Distribution Mar-26,Apr-26,Finance Monthly Distribution Apr-26,May-26,Finance Monthly Distribution May-26,Jun-26,Finance Monthly Distribution Jun-26,Jul-26,Finance Monthly Distribution Jul-26,Aug-26,Finance Monthly Distribution Aug-26,Sep-26,Finance Monthly Distribution Sep-26,Oct-26,Finance Monthly Distribution Oct-26,Nov-26,Finance Monthly Distribution Nov-26,Dec-26,Finance Monthly Distribution Dec-26
Tomball | 223957 |,8,,8,,,,Tomball,223957,Asthma,adults greater than and equal to 18 years of age,Startup,Site Selected,06/17/2026,12/11/2026,,,,7279,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,0,0
Cyfair | 2019nCoV-420 |,114,,114,,,,Cyfair,2019nCoV-420,COVID-19,50 to 65 years of age,Enrolling,Enrolling,11/17/2025,04/10/2026,,,160,6698,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,40,25,34,34,0,0,0,0,0,0,0,0,0,0,0,0
Tomball |C4771001,40,,40,,,,Tomball,C4771001,Clostridium Difficile,50 to 65 years of age,Maintenance,Maintenance,03/05/2026,03/18/2026,,,,7394,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago | C4771002 |,142,,120,,,,Chicago,C4771002,Clostridium Difficile,> 65 years of age,Enrolling,Enrolling,12/12/2025,06/30/2027,,,180,5748,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,12,8,12,12,12,12,12,12,12,12,12,11,12,10,16,16
Cyfair | C4771002 |,140,,100,,,,Cyfair,C4771002,Clostridium Difficile,> 65 years of age,Enrolling,Enrolling,12/12/2025,06/30/2027,,,180,5749,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,12,8,12,10,12,10,12,10,12,10,12,10,12,10,12,5
Detroit | C4771002 |,138,,100,,,,Detroit,C4771002,Clostridium Difficile,> 65 years of age,Enrolling,Enrolling,12/12/2025,06/30/2027,,,180,5750,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,12,8,12,11,12,11,12,11,12,11,12,11,12,5,12,5
Philadelphia | C4771002 |,138,,100,,,,Philadelphia,C4771002,Clostridium Difficile,> 65 years of age,Enrolling,Enrolling,12/12/2025,06/30/2027,,,180,5752,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,12,5,12,11,12,11,12,11,12,11,12,10,12,5,12,5
Tomball | C4771002 |,140,,100,,,,Tomball,C4771002,Clostridium Difficile,> 65 years of age,Enrolling,Enrolling,12/12/2025,06/30/2027,,,180,5753,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,12,8,12,10,12,10,12,10,12,10,12,10,12,10,12,5
