,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amount in 000's,,"Kindly do not edit - This sheet is automated, You may use Filters",,,,,,,,,,,,,,,,,
Sorted based on 2025,,,,,,,,,Total Loaded,"16,500,024","18,174,700","10,440,353","21,441,403","66,556,480","21,932,289","17,707,857","13,527,222","24,925,158","78,092,525"
,,,,,,,,,Total Unloaded,"16,500,024","18,174,700","10,440,353","21,441,403","66,556,480","21,932,289","17,219,729","11,865,984","21,864,173","72,882,175"
Lead ID,Protocol,Sponsor,CRO,Indication,Therapeutic area,Full Contract Value,Factored Contract Value,Future Goals,Actual Goals,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Total 2025,Q1 2026,Q2 2026,Q3 2026,Q4 2026,Total 2026
2544,VYD2311-PREV-002,Ichnos Sciences,(No Info),COVID-19,Vaccine-COVID,"  $10,571 ","  $10,571 ",0,920,  - ,  - ,  - ,  $30 ,  $30 ,"  $6,100 ","  $4,143 ",  $547 ,  - ,"  $10,790 "
1843,mRNA-1403-P301,Moderna,Parexel,Norovirus,Vaccine-Other,"  $27,277 ","  $27,277 ",0,"3,249","  $3,069 ","  $2,939 ","  $1,276 ","  $5,415 ","  $12,699 ","  $3,719 ","  $3,496 ",  $406 ,"  $2,681 ","  $10,302 "
1612,218130,GSK,(No Info),Influenza,Vaccine-Influenza,"  $6,249 ","  $5,624 ",965,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $126 ,"  $3,775 ","  $3,901 "
2685,VCA23395,Sanofi,ICON,RSV Vaccine,Vaccine-Respiratory,"  $5,516 ","  $4,928 ",649,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $266 ,"  $3,141 ","  $3,407 "
456,V118_24,Seqirus UK Limited,Parexel,Influenza,Vaccine-Influenza,"  $5,442 ","  $5,442 ",0,962,  - ,  - ,  $108 ,"  $3,946 ","  $4,054 ","  $1,044 ","  $1,173 ",  - ,  - ,"  $2,217 "
2187,C4771002,Pfizer,(No Info),Clostridium Difficile,Vaccine-Other,"  $4,491 ","  $4,491 ",368,91,  - ,  - ,  - ,  $89 ,  $89 ,  $125 ,  $505 ,  $610 ,  $815 ,"  $2,054 "
1618,VAX31-103,Vaxcyte,PPD,Pneumococcal,Vaccine-Other,"  $3,506 ","  $3,506 ",0,466,  - ,  - ,  $38 ,"  $1,638 ","  $1,676 ","  $1,545 ",  $332 ,  $93 ,  - ,"  $1,970 "
