Copy of Revenue Forecast Model 2023-2027 (05/22/2026),,,, Sites name changed ,8:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",0% - 10%,,,,,,,,,,,,,,,,,,Total Actual + Fin goals,Sponsor Vs Fin goals,Total Actual + Ops goals,Sponsor Vs Ops goals,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"6,359,420","7,017,431","8,408,336","6,709,662","6,993,438","3,974,757","4,034,540","4,463,159","5,029,488","12,226,136","6,655,456","6,043,521","77,915,342",,,,,,,,,,,,,,,,,"803,713,939","351,584,206",,"415,839,096","273,668,864","930,474,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please change the link to copy FC Here,,,,,,,,,,,,,,,"6,359,420","7,017,431","8,408,336","6,709,662","6,993,438","3,486,629","3,539,070","3,915,052","4,411,831","10,724,680","5,838,119","5,301,334","72,910,699",,Please change the link to copy FC Here,,,,,,,,,,,,,,,"705,012,227","308,407,198",,"364,771,137",,,,,,,,,,,"21,785,186.74","17,189,728.70","11,865,952.68","21,864,133.84",,,"4,596.00","3,275.00","63,262.00","29,059.00","29,059.00",,,,,,,,5/22/2026,,,,,"7,575,956","2,492,740",,,,,,48k enrolling
Source,Lead ID,Atom No.,Study Name,Site,PI,Protocol,Study Status,Sub Status,Sponsor,CRO,Indication,Therapeutic area,"Vaccine/
Non-Vaccine",,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,2026 Total,,Remaining,Confidence Level,,Date of 1st Subject,Psych or Non Psych,Budget per Subject,Lead Name,CRO Help,Sponsor Help,Active/Inactive,Status Helper,ATOM Helper,Actual Randomization,Future Rando Goals,Total No. of Patients,Estimated Potential Revenue,Factored Potential Revenue,Priority Studies - PMO,All revenue,FPFV Quarter,CRO helper,Status Helper,Site Name for Budget,TA Helper,CL% Level,,Sponsor Helper for Summary,CRO Helper for Summary,Top Projects,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,Fin Goals From ATOM DUMP,Fin Goals,Ops Goals,Sponsor Goals,Actual Randomization,Actual Randomization - Comtrak,,,Total Actual + Fin goals,Sponsor Vs Fin goals,Total Actual + Ops goals,Sponsor Vs Ops goals,,Ageing Days,Bracket,,,,"6,645,576","2,186,614",,,,,,129101 main
Source,Lead ID,Atom No.,Study Name,Site,PI,Protocol,Study Status,Sub Status,Sponsor,CRO,Indication,Therapeutic area,"Vaccine/
Non-Vaccine",,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,2026 Total,,Remaining - 2028 Onwards,Confidence Level,,Date of 1st Subject,Psych or Non Psych,Budget per Subject,Lead Name,CRO Help,Sponsor Help,Active/Inactive,Status Helper,ATOM Helper,Actual Randomization,Future Rando Goals,Total No. of Patients,Estimated Potential Revenue,Factored Potential Revenue,Priority Studies - PMO,All revenue,FPFV Quarter,CRO helper,Status Helper,Site Name for Budget,TA Helper,CL% Level,Status Cleaner,,,,,,,,,,,,,,,,,,,,,,,,Protocol Helper for budget optimization,Budget Optimization Check,,To Include,,,,,,,
PMT,N/A,N/A,Prior years closed studies adjustment,Tomball 13406,Dr. Kashif Ali,N/A,Maintenance,Maintenance,Moderna,(No Info),,Vaccine-Other,Vaccine,,"-18,248",0,0,0,"-2,100",,,,,,,,"18,248.00",Maintenance,,100%,,12/31/2022,Non-Psych,,Closed Studies,No CRO,Moderna,Active,Closed,Moderna,,,0,0,,No Priority,"136,185",Q4,No CRO,Closed,Tomball 13406,Vaccine-Other,76% - 85%,Closed,Moderna,Other,Not Priority,"-18,248","-2,100",0,  - ,,0,0,0,0,0,0,0,,0,0,0,0,,0,0 to 60 Days,N/A,Not Included,,,,,"-18,248",0,0,0,"-18,248"
PMT,301,820,BEL | MR-100A-01-TD-3001,Bellaire,Dr. Teresa Becker,MR-100A-01-TD-3001,Closed,Pre-Closed,Mylan,Parexel,Contraception,Women's Health,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,7/5/2022,Non-Psych,"13,504",Mylan-TCDD-MR-100A-01-TD-3001,Parexel,Mylan,Active,Closed,820BEL | MR-100A-01-TD-3001,5,0,5,"65,218","65,218",No Priority,"73,359",Q3,Parexel,Closed,Bellaire Non-Psych,General Medicine,76% - 85%,Closed,Other,Parexel,Not Priority,0,0,0,  - ,,,0,0,0,5,5,0,,5,-5,5,-5,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,293,2355,BEL | C4591044,Bellaire,Dr. Bonnie Colville,C4591044,Maintenance,Maintenance,Pfizer,ICON,COVID-19,Vaccine-COVID,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Maintenance,0,100%,,8/25/2022,Non-Psych,"7,531",Pfizer-DMCR-C4591044,ICON,Pfizer,Active,Maintenance,2355BEL | C4591044,24,0,24,"28,747","28,747",No Priority,"150,073",Q3,ICON,Maintenance,Bellaire Non-Psych,Vaccine-COVID,76% - 85%,Maintenance,Pfizer,ICON,Not Priority,0,0,0,  - ,,0,0,0,0,25,25,0,,25,-25,25,-25,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,323,823,BEL | NAV-17A-007,Bellaire,Dr. Shonna Piegari,NAV-17A-007,Closed,Closed,Navitor,Premier Research,Major Depressive Disorder, Psychiatry ,Non-Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,9/13/2022,Psych,"25,162",Navitor-DMCR-NAV-17A-007,Premier Research,Navitor,Active,Closed,823BEL | NAV-17A-007,9,0,9,"207,347","207,347",No Priority,"219,369",Q3,Others,Closed,Bellaire Psych,Psychiatry,76% - 85%,Closed,Other,Other,Not Priority,0,0,0,  - ,,,0,0,0,10,10,0,,10,-10,10,-10,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
PMT,92,704,RFT | mRNA-1345-P301 | Ph 3,River Forest,Dr. Mary Brown,mRNA-1345-P301 - Phase 3,Closed,Closed,Moderna,PPD,RSV Vaccine,Vaccine-Respiratory,Vaccine,,0,0,0,0,0,0,0,0,0,0,0,0,0.00,Closed,0,100%,,2/18/2022,Non-Psych,"44,379", Moderna - DMCR - mRNA-1345-P301 ,PPD,Moderna,Active,Closed,704RFT | mRNA-1345-P301 | Ph 3,194,0,194,"5,391,665","5,391,665",No Priority,"6,140,435",Q1,PPD,Closed,River Forest,Vaccine-Respiratory,76% - 85%,Closed,Moderna,PPD,Not Priority,0,0,0,  - ,,0,0,0,0,228,228,0,,228,-228,228,-228,,273,151 to 300 Days,N/A,Not Included,,,,,0,0,0,0,0
