,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,OK,,,,,,,,,Loaded,,,"38,573,822",70.30%,,,,,,"27,118,423",,,,,,,"1,170,140","2,390,168","4,487,454","4,323,448","3,628,087","1,879,867","1,927,315","1,625,770","1,483,780","1,629,794","1,318,072","1,254,527",,,,,"8,047,762","8,624,036","4,418,304","3,686,310",,"1,170,140","2,390,168","4,487,454","3,792,498","3,182,533","1,649,006","1,690,628","1,426,114","1,301,562","1,429,644","1,156,204","1,100,463","24,776,412",,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,OK,,,,
,,,,,,,,,,,Unloaded,"2,401","1,929","33,836,686",,,0,0,,,"24,776,412","8,047,762","8,624,036","4,418,304","3,686,310",,,"1,170,140","2,390,168","4,487,454","3,792,498","3,182,533","1,649,006","1,690,628","1,426,114","1,301,562","1,429,644","1,156,204","1,100,463",,,,,"8,047,762","8,624,036","4,418,304","3,686,310",,"1,170,140","2,390,168","4,487,454","3,792,498","3,182,533","1,649,006","1,690,628","1,426,114","1,301,562","1,429,644","1,156,204","1,100,463","24,776,412",,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,S.No,Lead ID,Priority / Non-Priority,Protocol,Sponsor / CRO,CRO,Indication,Therapeutic area,Category,Opportunity Count,FPFV,Sponsor Goals,Finance Goals,Full Contract Value,Avg CL%,Risk Adjustment,Total Reserve,2026 impact,Risk Adjusted CL%,,Revenue 2026,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,,,,,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,,,CRO Helper,Sponsor Helper,Lead Need to Add,CHECK,Protocol,,
,1,313,Non-Priority,BHV3000-315,Biohaven,Synteract,Migraine,Psychiatry,Non-Vaccine,1,8/23/2022,5,2,"120,659",100%,0%,0,0,100%,,"40,799",0,"10,024","18,093","12,682","79,860",,0,0,0,0,0,"10,024","6,000","6,890","5,203","4,560","4,130","3,992",,,,,0,"10,024","18,093","12,682",,0,0,0,0,0,"10,024","6,000","6,890","5,203","4,560","4,130","3,992","40,799",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,Other,,313,BHV3000-315,0,Non-Priority
,2,312,Non-Priority,3110-306-002,Abbvie,None,Migraine,Psychiatry,Non-Vaccine,1,1/30/2023,5,4,"122,147",100%,0%,0,0,100%,,"24,490",0,"1,316","9,641","13,534","97,657",,0,0,0,0,0,"1,316",0,"7,886","1,754","4,041","7,299","2,193",,,,,0,"1,316","9,641","13,534",,0,0,0,0,0,"1,316",0,"7,886","1,754","4,041","7,299","2,193","24,490",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,312,3110-306-002,0,Non-Priority
,3,291,Non-Priority,3110-305-002,Abbvie,None,Migraine,Psychiatry,Non-Vaccine,1,7/12/2022,18,3,"74,490",100%,0%,0,0,100%,,"16,311",0,"3,201","6,789","6,320","58,180",,0,0,0,0,0,"3,201",0,"3,837","2,952",517,"3,869","1,935",,,,,0,"3,201","6,789","6,320",,0,0,0,0,0,"3,201",0,"3,837","2,952",517,"3,869","1,935","16,311",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,291,3110-305-002,0,Non-Priority
,4,1289,Non-Priority,ITI-007-505,Intra-Cellular Therapies,IQVIA,Major Depressive Disorder,Psychiatry,Non-Vaccine,1,5/3/2023,10,15,"365,971",100%,0%,0,0,100%,,"207,894",0,0,"55,665","152,229","158,077",,0,0,0,0,0,0,0,"14,460","41,205","59,347","49,783","43,099",,,,,0,0,"55,665","152,229",,0,0,0,0,0,0,0,"14,460","41,205","59,347","49,783","43,099","207,894",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,Other,,1289,ITI-007-505,0,Non-Priority
,5,1853,Non-Priority,42847922MDD3003,Janssen,(No Info),Major Depressive Disorder,Psychiatry,Non-Vaccine,1,8/20/2024,5,4,"138,768",100%,0%,0,0,100%,,"11,575","11,517",58,0,0,"127,193",,-42,0,"11,559",48,10,0,0,0,0,0,0,0,,,,,"11,517",58,0,0,,-42,0,"11,559",48,10,0,0,0,0,0,0,0,"11,575",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,1853,42847922MDD3003,-42,Non-Priority
,6,1976,Non-Priority,ALTO-100-211,Alto Neuroscience,(No Info),Depression,Psychiatry,Non-Vaccine,1,10/23/2024,5,1,"37,604",100%,0%,0,0,100%,,"19,049",0,0,"9,367","9,683","18,555",,0,0,0,0,0,0,0,"5,420","3,947","3,754","2,264","3,665",,,,,0,0,"9,367","9,683",,0,0,0,0,0,0,0,"5,420","3,947","3,754","2,264","3,665","19,049",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,1976,ALTO-100-211,0,Non-Priority
,7,1724,Non-Priority,VNS 20-001,GSK,IQVIA,Varicella,Vaccine-Other,Vaccine,1,1/15/2025,16,6,"32,219",100%,0%,0,0,100%,,"2,888","2,888",0,0,0,"29,331",,732,-40,"2,196",0,0,0,0,0,0,0,0,0,,,,,"2,888",0,0,0,,732,-40,"2,196",0,0,0,0,0,0,0,0,0,"2,888",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,GSK,,1724,VNS 20-001,732,Non-Priority
