,,OK,,,,,,,,,,Loaded,,,"91,446,893",,9.86%,"4,901,698","-1,050,038",,,"9,018,658",0,"176,090","2,924,502","5,918,066",8010667.758,"-1,007,990",0,0,0,0,0,"176,090","337,279","1,187,949","1,399,274","1,757,032","1,980,981","2,180,052",,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,,,,OK,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"154,465","295,859","1,042,060","1,227,433","1,541,256","1,737,703","1,912,327",,,,,0,"213,126","2,795,728","5,823,336",,0,0,0,0,0,"213,126","358,573","1,115,065","1,322,091","1,785,585","1,970,037","2,067,714","8,832,190",,0,0,0,0,0,"-58,661","-62,714","-73,004","-94,657","-244,329","-232,334","-155,387",,,,,,,,,,,,
,,,,,,,,,,,,Unloaded,7120,5077,"80,216,573",,,"4,299,735","-921,086",,,"7,911,104",0,"154,465","2,565,353","5,191,286","7,026,902",,0,0,0,0,0,"154,465","295,859","1,042,060","1,227,433","1,541,256","1,737,703","1,912,327",,,,,0,"213,126","2,795,728","5,823,336",,0,0,0,0,0,"213,126","358,573","1,115,065","1,322,091","1,785,585","1,970,037","2,067,714","8,832,190",,0,0,0,0,0,"-58,661","-62,714","-73,004","-94,657","-244,329","-232,334","-155,387",,,,,,,,,,,,
,S.No,Lead ID,Priority / Non-Priority,Protocol,New Programs,Sponsor / CRO,CRO,Indication,Therapeutic area,Category,Opportunity Count,FPFV,Sponsor Goals,Finance Goals,Full Contract Value,Avg CL%,Risk Adjustment,Total Reserve,2026 impact,Risk Adjusted CL%,Factored Potential Revenue,Revenue 2026,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,,,,,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,,CL% Range,CRO Helper,Aging Helper,Sponsor Helper,Lead Need to Add,CHECK,Protocol,,Priotiyy / Non-Priority,New Pipelines
,1,1613,Priority,218132,Existing,GSK,(No Info),Influenza,Vaccine-Influenza,Vaccine,1,10/1/2026,180,90,"585,000",83%,58%,"408,795","-240,560",25%,"146,250","103,690",0,0,0,"103,690","207,380",,0,0,0,0,0,0,0,0,0,"38,660","41,220","23,810","-1,341,445","1,100,885","1,255,008.63",,0,0,0,"344,250",,0,0,0,0,0,0,0,0,0,"128,350","136,850","79,050","344,250",,0,0,0,0,0,0,0,0,0,"-89,690","-95,630","-55,240","-240,560",,0% - 10%,Other,0 to 60 Days,GSK,,1613,218132,,1613,1613
,2,2561,Priority,D7266C00001,Existing,AstraZeneca, None , CVOT ,Cardiovascular,Non-Vaccine,9,7/6/2026,90,95,"2,265,270",77%,0%,0,0,77%,"1,736,707","374,330",0,0,"113,188","261,141","354,628",,0,0,0,0,0,0,"27,191","37,729","48,267","58,805","69,343","132,992","-214,800","214,800","244,872.00",,0,0,"113,188","261,141",,0,0,0,0,0,0,"27,191","37,729","48,267","58,805","69,343","132,992","374,330",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Other,151 to 300 Days,AstraZeneca,,2561,D7266C00001,,2561,2561
,3,2749,Priority,ALV-101-1,Existing,, Worldwide Clinical Trials , Obesity ,Obesity,Non-Vaccine,3,7/3/2026,60,60,"1,200,000",83%,0%,0,0,83%,"1,000,000","414,824",0,0,"117,059","297,765","414,824",,0,0,0,0,0,0,"21,176","40,422","55,461","92,765","96,814","108,186",,,,,0,0,"117,059","297,765",,0,0,0,0,0,0,"21,176","40,422","55,461","92,765","96,814","108,186","414,824",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Worldwide Clinical Trials,0 to 60 Days,Other,,2749,ALV-101-1,,2749,2749
,4,2623,Priority,D7260C00015,Existing,AstraZeneca, IQVIA , Obesity ,Obesity,Non-Vaccine,3,7/6/2026,30,26,"520,104",85%,0%,0,0,85%,"442,088","77,115",0,0,"25,046","52,069","88,979",,0,0,0,0,0,0,"4,706","8,951","11,390","18,348","14,639","19,083",,,,,0,0,"25,046","52,069",,0,0,0,0,0,0,"4,706","8,951","11,390","18,348","14,639","19,083","77,115",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,IQVIA,151 to 300 Days,AstraZeneca,,2623,D7260C00015,,2623,2623
,5,2634,Priority,D7261C00006,Existing,AstraZeneca,Unknown,Type 2 Diabetes,Endocrine & Metabolism,Non-Vaccine,3,7/4/2026,15,12,"240,024",58%,0%,0,0,58%,"140,014","57,988",0,0,"23,251","34,738","72,485",,0,0,0,0,0,0,"4,022","7,662","11,568","19,114","7,812","7,812",,,,,0,0,"23,251","34,738",,0,0,0,0,0,0,"4,022","7,662","11,568","19,114","7,812","7,812","57,988",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,151 to 300 Days,AstraZeneca,,2634,D7261C00006,,2634,2634
,6,2637,Priority,D7261C00002,Existing,AstraZeneca,Unknown,Type 2 Diabetes,Endocrine & Metabolism,Non-Vaccine,1,7/6/2026,4,4,"80,008",30%,0%,0,0,30%,"24,002","12,545",0,0,"3,837","8,708","12,545",,0,0,0,0,0,0,689,"1,313","1,834","4,541","2,083","2,083",,,,,0,0,"3,837","8,708",,0,0,0,0,0,0,689,"1,313","1,834","4,541","2,083","2,083","12,545",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Other,151 to 300 Days,AstraZeneca,,2637,D7261C00002,,2637,2637
,7,2710,Priority,R5713-5715-ALG-2556,Existing,Regeneron,Unknown,Birch Pollen Allergy,Allergy/Immunology,Non-Vaccine,4,10/1/2026,0,90,"1,800,000",71%,0%,0,0,71%,"1,282,500","592,058",0,0,0,"592,058",0,,0,0,0,0,0,0,0,0,0,"79,330","225,933","286,795",,,,,0,0,0,"592,058",,0,0,0,0,0,0,0,0,0,"79,330","225,933","286,795","592,058",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Other,61 to 90 Days,Other,,2710,R5713-5715-ALG-2556,,2710,2710
