DM Clinical Research,Go-Get Split,,,,,,OK,,Prepared By: FP&A Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue Summary 2026,Vaccine,,,,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As revised based on the current revenue waterfall,Non-Vaccine,,,,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update as of 05/26/2026,Provision for Enrolling Studies,,,,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,Coverage Ratio,,,,,,,,,,,,,
,H1,H2,,Q1,Q2,Q3,Q4,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,,Q1,Q2,Q3,Q4,Annual,,,,,,,,,
Revenue Waterfall - Baseline Goals,"  39,546 ","  45,458 ",,"  21,785 ","  17,761 ","  18,601 ","  26,857 ",,"6,359,419.74","7,017,431.00","8,408,336.00","6,709,661.53","6,993,438.34","4,058,012.12","5,421,520.74","5,809,860.97","7,369,454.72","9,577,574.45","8,833,797.62","8,446,060.69","  85,005 ",,,,,,,,,,,,,,,,
Backlog (Maintenance),"  22,022 ","  6,063 ",,"  13,737 ","  8,284 ","  2,445 ","  3,618 ",,"  5,189 ","  4,627 ","  3,921 ","  2,896 ","  3,710 ","  1,678 ","  1,042 ",  700 ,  702 ,"  1,448 ",  783 ,"  1,387 ","28,085",33%,,63%,47%,13%,13%,33%,,,,,,,,,
Total Enrolling,"  17,057 ","  10,157 ",,"  8,048 ","  9,009 ","  5,532 ","  4,625 ",,"  1,170 ","  2,390 ","  4,487 ","  3,792 ","  3,183 ","  2,034 ","  2,105 ","  1,789 ","  1,638 ","  1,776 ","  1,449 ","  1,401 ","27,215",32%,,37%,51%,30%,17%,32%,,,,,,,,,
Enrolling,"  16,903 ","  9,239 ",,"  8,048 ","  8,855 ","  5,037 ","  4,202 ",,"  1,170 ","  2,390 ","  4,487 ","  3,792 ","  3,183 ","  1,880 ","  1,927 ","  1,626 ","  1,484 ","  1,630 ","  1,318 ","  1,255 ","26,142",31%,,37%,50%,27%,16%,31%,,,,,,,,,
Revenue Optimization - Enrolling Studies,  155 ,  918 ,,  - ,  155 ,  495 ,  423 ,,  - ,  - ,  - ,  - ,  - ,  155 ,  178 ,  163 ,  154 ,  146 ,  131 ,  146 ,"1,073",1%,,0%,1%,3%,2%,1%,,,,,,,,,
Risk Adjustments for Enrolling Trials,  - ,  - ,,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,-,0%,,0%,0%,0%,0%,0%,,,,,,,,,
Total Awarded,  291 ,"  7,228 ",,  - ,  291 ,"  2,432 ","  4,795 ",,  - ,  - ,  - ,  21 ,  101 ,  170 ,  620 ,  817 ,  996 ,"  2,622 ","  1,329 ",  844 ,"7,519",9%,,0%,2%,13%,18%,9%,,,,,,,,,
Awarded,  296 ,"  13,324 ",,  - ,  296 ,"  2,858 ","  10,466 ",,  - ,  - ,  - ,  21 ,  101 ,  174 ,  656 ,  866 ,"  1,336 ","  7,113 ","  2,308 ","  1,044 ","13,620",16%,,0%,2%,15%,39%,16%,,,,,,,,,
Risk Adjustments for Awarded Trials,  (4),"  (6,096)",,  - ,  (4),  (426),"  (5,671)",,  - ,  - ,  - ,  - ,  - ,  (4),  (36),  (50),  (340),"  (4,491)",  (979),  (200),"(6,101)",-7%,,0%,0%,-2%,-21%,-7%,,,,,,,,,
Budget Optimization,  - ,  - ,,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,-,0%,,0%,0%,0%,0%,0%,,,,,,,,,
Total Pipeline,  176 ,"  8,843 ",,  - ,  176 ,"  2,925 ","  5,918 ",,  - ,  - ,  - ,  - ,  - ,  176 ,  337 ,"  1,188 ","  1,399 ","  1,757 ","  1,981 ","  2,180 ","9,019",11%,,0%,1%,16%,22%,11%,,,,,,,,,
Pipeline,  37 ,"  3,865 ",,  - ,  37 ,"  1,053 ","  2,812 ",,  - ,  - ,  - ,  - ,  - ,  37 ,  156 ,  368 ,  529 ,  835 ,  957 ,"  1,020 ","3,902",5%,"  14,452 ",0%,0%,6%,10%,5%,,,,,,,,,
Pipeline Below PSV,  206 ,"  5,961 ",,  - ,  206 ,"  2,134 ","  3,827 ",,  - ,  - ,  - ,  - ,  - ,  206 ,  253 ,  903 ,  978 ,"  1,201 ","  1,289 ","  1,338 ","6,167",7%,"  76,995 ",,,,,,,,,,,,,,
Risk Adjustments for Pipeline Trials,  (67),  (983),,  - ,  (67),  (263),  (721),,  - ,  - ,  - ,  - ,  - ,  (67),  (71),  (83),  (108),  (279),  (265),  (177),"(1,050)",-1%,,,,,,,,,,,,,,,
Pipeline Stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0% - 10%,  6 ,  240 ,,  - ,  6 ,  66 ,  174 ,,  - ,  - ,  - ,  - ,  - ,  6 ,  12 ,  26 ,  28 ,  31 ,  63 ,  79 ,246,"17,359",,,,,,,,,,,,,,,
11% - 30%,  200 ,"  5,329 ",,  - ,  200 ,"  2,068 ","  3,261 ",,  - ,  - ,  - ,  - ,  - ,  200 ,  240 ,  877 ,  950 ,"  1,024 ","  1,069 ","  1,168 ","5,529","58,969",,,,,,,,,,,,,,,
31% - 75%,  - ,  144 ,,  - ,  - ,  59 ,  85 ,,  - ,  - ,  - ,  - ,  - ,  - ,  3 ,  26 ,  29 ,  22 ,  31 ,  31 ,144,500,,,,,,,,,,,,,,,
76% - 85%,  37 ,"  4,114 ",,  - ,  37 ,  994 ,"  3,119 ",,  - ,  - ,  - ,  - ,  - ,  37 ,  153 ,  342 ,  500 ,  959 ,"  1,082 ","  1,079 ","4,151","14,619",,,,,,,,,,,,,,,
Genuine Go-Get,  - ,"  13,167 ",,  - ,  - ,"  5,267 ","  7,900 ",,  - ,  - ,  - ,  - ,  - ,  - ,"  1,317 ","  1,317 ","  2,633 ","  1,975 ","  3,292 ","  2,633 ","13,167",15%,,0%,0%,28%,29%,15%,,,,,,,,,
Go-Get - Organic,  - ,"  7,085 ",,  - ,  - ,"  2,834 ","  4,251 ",,  - ,  - ,  - ,  - ,  - ,  - ,  708 ,  708 ,"  1,417 ","  1,063 ","  1,771 ","  1,417 ","7,085",8%,,0%,0%,15%,16%,8%,,,,,,,,,
Go-Get - Organic due to Enrolling Revenue Optimization,  - ,"  (1,068)",,  - ,  - ,  (427),  (641),,  - ,  - ,  - ,  - ,  - ,  - ,  (107),  (107),  (214),  (160),  (267),  (214),"(1,068)",-1%,,,,,,,,,,,,,,,
Go-Get - Organic due to Enrolling Adj.,  - ,  - ,,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,-,,,,,,,,,,,,,,,,
Go-Get - Organic due to Budget Optimization,  - ,  - ,,  - ,  - ,  - ,  - ,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,-,,,,,,,,,,,,,,,,
Go-Get - Organic due to Pipeline Adj,  - ,"  1,050 ",,  - ,  - ,  420 ,  630 ,,  - ,  - ,  - ,  - ,  - ,  - ,  105 ,  105 ,  210 ,  158 ,  263 ,  210 ,"1,050",,,,,,,,,,,,,,,,
Go-Get - Organic due to Awarded Adj,  - ,"  6,101 ",,  - ,  - ,"  2,440 ","  3,660 ",,  - ,  - ,  - ,  - ,  - ,  - ,  610 ,  610 ,"  1,220 ",  915 ,"  1,525 ","  1,220 ","6,101",7%,,,,,,,,,,,,,,,
,0%,100%,,0%,0%,40%,60%,,0%,0%,0%,0%,0%,0%,10%,10%,20%,15%,25%,20%,100%,,,,,,,,,,,,,,,,
Expected Goals (Confidence Weighted),"2,666","3,856",,"1,834",832,"1,450","2,407",,776,630,428,285,273,274,421,595,433,"1,562",477,367,"6,522",,,,,,,,,,,,,,,,
Vaccine,"2,351","2,064",,"1,745",606,424,"1,640",,747,610,388,248,228,130,158,87,179,"1,380",139,122,"4,415",,,,,,,,,,,,,,,,
Non-Vaccine,315,"1,792",,89,226,"1,025",767,,29,20,40,37,45,144,263,508,254,183,339,245,"2,107",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue By Vaccine/Non-Vaccine,"  39,546 ","  45,458 ",,"  21,785 ","  17,761 ","  18,601 ","  26,857 ",,"  6,359 ","  7,017 ","  8,408 ","  6,710 ","  6,993 ","  4,058 ","  5,422 ","  5,810 ","  7,369 ","  9,578 ","  8,834 ","  8,446 ","  85,005 ",,,,,,,,,,,,,,,,
Bifurcation by Waterfall,,,,  - ,  176 ,"  8,191 ","  13,819 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Vaccine ,"  32,209 ","  19,370 ",,"  18,828 ","  13,381 ","  7,168 ","  12,202 ",,"  5,449 ","  6,045 ","  7,334 ","  5,329 ","  5,447 ","  2,606 ","  2,518 ","  1,935 ","  2,715 ","  5,133 ","  3,610 ","  3,458 ","  51,579 ",61%,,,,,,,,,,,,,,,
