,,OK,,,,,,,,,Loaded,,,"23,053,624",,32.61%,"9,640,524","-6,100,817",,,"7,518,807",0,"291,231","2,432,472","4,795,104",,,0,0,0,"20,875","100,581","169,775","619,629","816,553","996,290","2,621,658","1,329,030","844,416",,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,,,OK,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"20,875","100,581","148,926","543,534","716,274","873,939","2,299,700","1,165,815","740,716",,,,,0,"274,260","2,507,321","9,180,374",,0,0,0,"20,875","100,581","152,804","575,408","759,947","1,171,966","6,239,227","2,024,999","916,148","11,961,955",,0,0,0,0,0,"-3,878","-31,874","-43,673","-298,028","-3,939,527","-859,183","-175,432",,,,,,,,,,
,,,,,,,,,,,Unloaded,2331,1797,"20,222,477",,,"8,456,600","-5,351,594",,,"6,610,361",0,"270,382","2,133,747","4,206,232",,,0,0,0,"20,875","100,581","148,926","543,534","716,274","873,939","2,299,700","1,165,815","740,716",,,,,0,"274,260","2,507,321","9,180,374",,0,0,0,"20,875","100,581","152,804","575,408","759,947","1,171,966","6,239,227","2,024,999","916,148","11,961,955",,0,0,0,0,0,"-3,878","-31,874","-43,673","-298,028","-3,939,527","-859,183","-175,432",,,,,,,,,,
,S.No,Lead ID,Priority / Non-Priority,Protocol,Sponsor / CRO,CRO,Indication,Therapeutic area,Category,Opportunity Count,FPFV,Sponsor Goals,Finance Goals,Full Contract Value,Avg CL%,Risk Adjustment,Total Reserve,2026 Reserve,Risk Adjusted CL%,Factored potential Revenue,Revenue 2026,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,,,,,Q1 2026,Q2 2026,Q3 2026,Q4 2026,,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,,,CRO Helper,Sponsor Helper,Lead Need to Add,CHECK,Protocol,,
,1,2141,Non-Priority,VRB-101-202,Verdiva Bio,Parexel,Obesity,Obesity,Non-Vaccine,2,6/2/2026,24,12,"482,792",100%,0%,0,0,100%,"482,792","515,797",0,"86,486","248,346","180,965",,,0,0,0,"20,875","20,875","44,736","92,810","82,777","72,760","55,277","74,844","50,844",,,,,0,"86,486","248,346","180,965",,0,0,0,"20,875","20,875","44,736","92,810","82,777","72,760","55,277","74,844","50,844","515,797",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Parexel,Other,,2141,VRB-101-202,,Non-Priority
,2,2643,Non-Priority,EXPD-101-201,Expedition Therapeutics, IQVIA , COPD ,Respiratory,Non-Vaccine,4,6/16/2026,8,13,"366,081",98%,0%,0,0,98%,"356,929","347,723",0,"64,007","232,900","50,817",,,0,0,0,0,0,"64,007","84,770","113,887","34,242","22,656","9,910","18,250",,,,,0,"64,007","232,900","50,817",,0,0,0,0,0,"64,007","84,770","113,887","34,242","22,656","9,910","18,250","347,723",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,Other,,2643,EXPD-101-201,,Non-Priority
,3,2499,Non-Priority,C4931004,Pfizer, None , Others ,General Medicine,Non-Vaccine,1,6/3/2026,0,8,"46,119",90%,0%,0,0,90%,"41,507","36,911",0,"4,422","17,689","14,799",,,0,0,0,0,0,"4,422","4,422","4,422","8,845","4,422","5,188","5,188",,,,,0,"4,422","17,689","14,799",,0,0,0,0,0,"4,422","4,422","4,422","8,845","4,422","5,188","5,188","36,911",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Pfizer,,2499,C4931004,,Non-Priority
,4,2530,Non-Priority,MDD3011,Johnson&Johnson, None , Major Depressive Disorder ,Psychiatry,Non-Vaccine,1,8/12/2026,6,5,"88,535",100%,0%,0,0,100%,"88,535","88,535",0,0,"45,483","43,052",,,0,0,0,0,0,0,0,"15,308","30,175","22,946","17,707","2,399",,,,,0,0,"45,483","43,052",,0,0,0,0,0,0,0,"15,308","30,175","22,946","17,707","2,399","88,535",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2530,MDD3011,,Non-Priority
,5,2543,Non-Priority,224349,GSK, IQVIA , MMRVNS Vaccine ,Vaccine-Other,Vaccine,1,6/3/2026,23,15,"86,385",100%,0%,0,0,100%,"86,385","89,265",0,"21,737","27,218","40,310",,,0,0,0,0,"18,250","3,487","8,548","6,635","12,035","13,609","13,270","13,431",,,,,0,"21,737","27,218","40,310",,0,0,0,0,"18,250","3,487","8,548","6,635","12,035","13,609","13,270","13,431","89,265",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,GSK,,2543,224349,,Non-Priority
,6,2630,Non-Priority,TAK-360-2001,Takeda Pharmaceutical Company, Unknown , Narcolepsy NT1/NT2 ,Psychiatry,Non-Vaccine,1,7/1/2026,0,4,"333,677",100%,30%,"100,103","-99,587",70%,"233,574","259,032",0,"26,663","96,012","136,357",,,0,0,0,0,"26,663",0,"38,234","20,160","37,619","57,804","58,983","19,570",,,,,0,"26,663","137,160","194,796",,0,0,0,0,"26,663",0,"54,620","28,800","53,741","82,577","84,262","27,957","358,619",,0,0,0,0,0,0,"-16,386","-8,640","-16,122","-24,773","-25,278","-8,387",,,,Other,Other,,2630,TAK-360-2001,,Non-Priority
,7,2497,Non-Priority,C4931008,Pfizer, None , Pneumococcal ,Vaccine-Other,Vaccine,1,5/6/2026,0,6,"85,784",90%,0%,0,0,90%,"77,206","44,146",0,"3,699","20,641","19,806",,,0,0,0,0,0,"3,699","6,045","8,391","6,204","7,557","7,557","4,692",,,,,0,"3,699","20,641","19,806",,0,0,0,0,0,"3,699","6,045","8,391","6,204","7,557","7,557","4,692","44,146",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Pfizer,,2497,C4931008,,Non-Priority
,8,2592,Non-Priority,WA46440,Roche, IQVIA , Rheumatoid Arthritis ,Rheumatology,Non-Vaccine,1,6/5/2026,8,4,"91,544",100%,0%,0,0,100%,"91,544","49,702",0,"22,865","11,036","15,801",,,0,0,0,0,"22,441",424,"3,580","1,836","5,620","3,248","7,893","4,660",,,,,0,"22,865","11,036","15,801",,0,0,0,0,"22,441",424,"3,580","1,836","5,620","3,248","7,893","4,660","49,702",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,Other,,2592,WA46440,,Non-Priority
,9,2641,Non-Priority,IMVT-1402-2505,Immuvonant Sciences GmbH, Unknown , Graves Diseases ,General Medicine,Non-Vaccine,1,7/8/2026,0,1,"66,452",90%,0%,0,0,90%,"59,807","34,007",0,0,"23,961","10,046",,,0,0,0,0,0,0,"13,630","6,039","4,293","4,291","3,745","2,010",,,,,0,0,"23,961","10,046",,0,0,0,0,0,0,"13,630","6,039","4,293","4,291","3,745","2,010","34,007",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2641,IMVT-1402-2505,,Non-Priority
,10,2665,Non-Priority,K-304-P005,"Kallyope, Inc", Confidence Pharmaceutical Research ((CFR)) , Migraine ,Psychiatry,Non-Vaccine,1,8/4/2026,0,16,"127,136",90%,30%,"42,379","-11,798",60%,"76,282","23,596",0,0,"6,007","17,590",,,0,0,0,0,0,0,0,"1,241","4,766","5,102","6,277","6,211",,,,,0,0,"9,010","26,384",,0,0,0,0,0,0,0,"1,861","7,149","7,653","9,415","9,317","35,394",,0,0,0,0,0,0,0,-620,"-2,383","-2,551","-3,138","-3,106",,,,Confidence Pharmaceutical Research,Other,,2665,K-304-P005,,Non-Priority
,11,2664,Non-Priority,K-304 P003,"Kallyope, Inc", Confidence Pharmaceutical Research ((CFR)) , Migraine ,Psychiatry,Non-Vaccine,1,8/4/2026,0,16,"87,440",90%,0%,0,0,90%,"78,696","78,696",0,0,"44,267","34,430",,,0,0,0,0,0,0,0,"19,674","24,593","14,756","19,674",0,,,,,0,0,"44,267","34,430",,0,0,0,0,0,0,0,"19,674","24,593","14,756","19,674",0,"78,696",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Confidence Pharmaceutical Research,Other,,2664,K-304 P003,,Non-Priority
,12,2525,Non-Priority,C6511002,Pfizer, None , Obesity ,Obesity,Non-Vaccine,1,7/1/2026,21,21,"1,693,874",100%,0%,0,0,100%,"1,693,874","910,645",0,0,"604,425","306,220",,,0,0,0,0,0,0,"176,748","219,129","208,549","140,024","87,889","78,307",,,,,0,0,"604,425","306,220",,0,0,0,0,0,0,"176,748","219,129","208,549","140,024","87,889","78,307","910,645",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,Pfizer,,2525,C6511002,,Non-Priority
,13,2561,Priority,D7266C00001,AstraZeneca, None , CVOT ,Cardiovascular,Non-Vaccine,2,7/1/2026,21,10,"476,899",90%,0%,0,0,90%,"429,209","120,075",0,"3,547","42,119","74,409",,,0,0,0,0,0,"3,547","10,640","12,592","18,887","24,385","22,248","27,776",,,,,0,"3,547","42,119","74,409",,0,0,0,0,0,"3,547","10,640","12,592","18,887","24,385","22,248","27,776","120,075",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,AstraZeneca,,2561,D7266C00001,,2561
,14,2569,Non-Priority,PIR21191,Sanofi, Syneos Health , Asthma ,Respiratory,Non-Vaccine,1,6/1/2026,6,16,"108,286",100%,0%,0,0,100%,"108,286","53,000",0,"17,076","17,571","18,352",,,0,0,0,0,"12,352","4,724","4,724","5,574","7,273","7,273","5,886","5,193",,,,,0,"17,076","17,571","18,352",,0,0,0,0,"12,352","4,724","4,724","5,574","7,273","7,273","5,886","5,193","53,000",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Syneos Health,Sanofi,,2569,PIR21191,,Non-Priority
,15,2571,Non-Priority,ENERGI-F703-04,Barda, Syneos Health , Diabetic Foot Ulcer ,Endocrine & Metabolism,Non-Vaccine,1,7/1/2026,0,5,"93,997",90%,0%,0,0,90%,"84,597","77,343",0,0,"31,508","45,834",,,0,0,0,0,0,0,"5,376","10,679","15,454","18,165","15,979","11,690",,,,,0,0,"31,508","45,834",,0,0,0,0,0,0,"5,376","10,679","15,454","18,165","15,979","11,690","77,343",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Syneos Health,Other,,2571,ENERGI-F703-04,,Non-Priority
,16,2701,Non-Priority,LCI699-RECAG-CL-0615,Recordati AG, Fortrea , Cushing's Syndrome , Endocrine & Metabolism ,Non-Vaccine,1,8/1/2026,1,1,"23,296",90%,0%,0,0,90%,"20,966","14,476",0,0,"7,782","6,693",,,0,0,0,0,0,0,0,"4,928","2,854","1,920","2,854","1,920",,,,,0,0,"7,782","6,693",,0,0,0,0,0,0,0,"4,928","2,854","1,920","2,854","1,920","14,476",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2701,LCI699-RECAG-CL-0615,,Non-Priority
,17,2675,Non-Priority,C6491014,Pfizer, Unknown , Obesity ,Obesity,Non-Vaccine,4,11/1/2026,80,60,"1,200,000",90%,0%,0,0,90%,"1,080,000","277,507",0,0,0,"277,507",,,0,0,0,0,0,0,0,0,0,0,"151,800","125,707",,,,,0,0,0,"277,507",,0,0,0,0,0,0,0,0,0,0,"151,800","125,707","277,507",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Pfizer,,2675,C6491014,,Non-Priority
,18,2683,Non-Priority,K-304-P004,"Kallyope, Inc", Confidence Pharmaceutical Research ((CFR)) , Migraine ,Psychiatry,Non-Vaccine,3,8/1/2026,20,65,"812,565",90%,30%,"270,855","-165,583",60%,"487,539","331,166",0,0,"108,952","222,214",,,0,0,0,0,0,0,0,"43,529","65,423","85,622","75,510","61,082",,,,,0,0,"163,428","333,321",,0,0,0,0,0,0,0,"65,294","98,134","128,434","113,265","91,623","496,750",,0,0,0,0,0,0,0,"-21,765","-32,711","-42,811","-37,755","-30,541",,,,Confidence Pharmaceutical Research,Other,,2683,K-304-P004,,Non-Priority
,19,2685,Non-Priority,VCA23395,Sanofi, ICON , RSV Vaccine ,Vaccine-Respiratory,Vaccine,21,10/1/2026,636,564,"4,793,436",90%,65%,"3,461,926","-2,194,265",25%,"1,198,359","843,948",0,0,"54,419","789,530",,,0,0,0,0,0,0,0,0,"54,419","528,158","210,234","51,138",,,,,0,0,"195,907","2,842,306",,0,0,0,0,0,0,0,0,"195,907","1,901,367","756,842","184,097","3,038,213",,0,0,0,0,0,0,0,0,"-141,488","-1,373,210","-546,608","-132,959",,,,ICON,Sanofi,,2685,VCA23395,,Non-Priority
,20,2749,Priority,ALV-101-1,, Worldwide Clinical Trials , Obesity ,Obesity,Non-Vaccine,2,8/5/2026,0,4,"80,000",90%,0%,0,0,90%,"72,000","37,553",0,0,"11,075","26,478",,,0,0,0,0,0,0,0,"2,993","8,082","10,024","8,873","7,581",,,,,0,0,"11,075","26,478",,0,0,0,0,0,0,0,"2,993","8,082","10,024","8,873","7,581","37,553",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Worldwide Clinical Trials,Other,,2749,ALV-101-1,,2749
,21,2623,Priority,D7260C00015, AstraZeneca , IQVIA , Obesity ,Obesity,Non-Vaccine,5,9/1/2026,50,0,"600,120",90%,0%,0,0,90%,"540,108","120,506",0,"1,265","37,841","81,400",,,0,0,0,0,0,"1,265","9,398","11,032","17,411","29,246","21,101","31,052",,,,,0,"1,265","37,841","81,400",,0,0,0,0,0,"1,265","9,398","11,032","17,411","29,246","21,101","31,052","120,506",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,AstraZeneca,,2623,D7260C00015,,2623
,22,2638,Non-Priority,D7261C00005, AstraZeneca , Unknown , Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,3,7/1/2026,15,0,"401,254",90%,0%,0,0,90%,"361,129","154,028",0,"2,068","45,114","106,846",,,0,0,0,0,0,"2,068","15,135","12,074","17,905","40,376","26,149","40,322",,,,,0,"2,068","45,114","106,846",,0,0,0,0,0,"2,068","15,135","12,074","17,905","40,376","26,149","40,322","154,028",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,AstraZeneca,,2638,D7261C00005,,Non-Priority
,23,2645,Non-Priority,223957, GSK , Unknown , Asthma ,Respiratory,Non-Vaccine,1,7/1/2026,8,0,"160,000",90%,0%,0,0,90%,"144,000","140,792",0,0,"51,151","89,642",,,0,0,0,0,0,0,"8,377","14,792","27,981","41,792","27,623","20,227",,,,,0,0,"51,151","89,642",,0,0,0,0,0,0,"8,377","14,792","27,981","41,792","27,623","20,227","140,792",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,GSK,,2645,223957,,Non-Priority
,24,2635,Non-Priority,D7261C00004, AstraZeneca , Sponsor Initiated , Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,2,7/1/2026,10,4,"160,016",90%,0%,0,0,90%,"144,014","75,269",0,"2,068","24,079","49,122",,,0,0,0,0,0,"2,068","5,812","7,261","11,005","24,124","12,499","12,499",,,,,0,"2,068","24,079","49,122",,0,0,0,0,0,"2,068","5,812","7,261","11,005","24,124","12,499","12,499","75,269",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,AstraZeneca,,2635,D7261C00004,,Non-Priority
,25,2648,Non-Priority,TAK-360-2002, Takeda Pharmaceutical Company , Unknown , Narcolepsy NT1/NT2 ,Psychiatry,Non-Vaccine,1,6/1/2026,0,4,"167,868",90%,30%,"55,956","-50,360",60%,"100,721","100,721",0,"4,108","70,694","25,919",,,0,0,0,0,0,"4,108","24,442","21,072","25,180","21,072","4,847",0,,,,,0,"6,162","106,041","38,878",,0,0,0,0,0,"6,162","36,662","31,608","37,770","31,608","7,270",0,"151,081",,0,0,0,0,0,"-2,054","-12,221","-10,536","-12,590","-10,536","-2,423",0,,,,Other,Other,,2648,TAK-360-2002,,Non-Priority
,26,2660,Non-Priority,ML-007C-MA-212, Maplight Therapeutics , Syneos Health , Schizophrenia ,Psychiatry,Non-Vaccine,1,8/4/2026,0,4,"146,599",90%,0%,0,0,90%,"131,939","54,467",0,0,"19,873","34,594",,,0,0,0,0,0,0,0,"7,106","12,768","12,640","14,594","7,360",,,,,0,0,"19,873","34,594",,0,0,0,0,0,0,0,"7,106","12,768","12,640","14,594","7,360","54,467",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Syneos Health,Other,,2660,ML-007C-MA-212,,Non-Priority
